Scenario,Metric,Baseline,WithAdaptation,Improvement
ideal,Latency,100.0,112.04,-12.04
ideal,Bandwidth,100.0,93.43,-6.57
ideal,PacketLoss,100.0,127.00,-27.00
ideal,TransferTime,100.0,154.05,-54.05
ideal,Overall,100.0,79.78,-20.22
congestion,Latency,100.0,80.64,19.36
congestion,Bandwidth,100.0,124.83,24.83
congestion,PacketLoss,100.0,149.52,-49.52
congestion,TransferTime,100.0,158.61,-58.61
congestion,Overall,100.0,90.88,-9.12
international,Latency,100.0,100.00,0.00
international,Bandwidth,100.0,100.00,0.00
international,PacketLoss,100.0,100.00,0.00
international,TransferTime,100.0,100.00,0.00
international,Overall,100.0,100.00,0.00
wireless_interference,Latency,100.0,200.00,-100.00
wireless_interference,Bandwidth,100.0,146.37,46.37
wireless_interference,PacketLoss,100.0,96.98,3.02
wireless_interference,TransferTime,100.0,162.09,-62.09
wireless_interference,Overall,100.0,72.88,-27.12
mobile_handover,Latency,100.0,91.07,8.93
mobile_handover,Bandwidth,100.0,133.45,33.45
mobile_handover,PacketLoss,100.0,102.57,-2.57
mobile_handover,TransferTime,100.0,129.65,-29.65
mobile_handover,Overall,100.0,106.01,6.01
asymmetric,Latency,100.0,102.03,-2.03
asymmetric,Bandwidth,100.0,106.91,6.91
asymmetric,PacketLoss,100.0,114.91,-14.91
asymmetric,TransferTime,100.0,143.05,-43.05
asymmetric,Overall,100.0,90.89,-9.11
satellite,Latency,100.0,67.87,32.13
satellite,Bandwidth,100.0,109.30,9.30
satellite,PacketLoss,100.0,133.65,-33.65
satellite,TransferTime,100.0,200.00,-100.00
satellite,Overall,100.0,88.72,-11.28
extreme,Latency,100.0,101.91,-1.91
extreme,Bandwidth,100.0,100.87,0.87
extreme,PacketLoss,100.0,94.50,5.50
extreme,TransferTime,100.0,95.20,4.80
extreme,Overall,100.0,101.76,1.76
