Scenario,Metric,Baseline,WithAdaptation,Improvement
ideal,Latency,100.0,100.00,0.00
ideal,Bandwidth,100.0,100.00,0.00
ideal,PacketLoss,100.0,100.00,0.00
ideal,TransferTime,100.0,100.00,0.00
ideal,Overall,100.0,100.00,0.00
congestion,Latency,100.0,80.64,19.36
congestion,Bandwidth,100.0,124.83,24.83
congestion,PacketLoss,100.0,149.52,-49.52
congestion,TransferTime,100.0,158.61,-58.61
congestion,Overall,100.0,90.88,-9.12
international,Latency,100.0,100.00,0.00
international,Bandwidth,100.0,100.00,0.00
international,PacketLoss,100.0,100.00,0.00
international,TransferTime,100.0,100.00,0.00
international,Overall,100.0,100.00,0.00
wireless_interference,Latency,100.0,200.00,-100.00
wireless_interference,Bandwidth,100.0,146.37,46.37
wireless_interference,PacketLoss,100.0,96.98,3.02
wireless_interference,TransferTime,100.0,162.09,-62.09
wireless_interference,Overall,100.0,72.88,-27.12
mobile_handover,Latency,100.0,100.00,0.00
mobile_handover,Bandwidth,100.0,100.00,0.00
mobile_handover,PacketLoss,100.0,100.00,0.00
mobile_handover,TransferTime,100.0,100.00,0.00
mobile_handover,Overall,100.0,100.00,0.00
asymmetric,Latency,100.0,100.00,0.00
asymmetric,Bandwidth,100.0,100.00,0.00
asymmetric,PacketLoss,100.0,100.00,0.00
asymmetric,TransferTime,100.0,100.00,0.00
asymmetric,Overall,100.0,100.00,0.00
satellite,Latency,100.0,67.87,32.13
satellite,Bandwidth,100.0,109.30,9.30
satellite,PacketLoss,100.0,133.65,-33.65
satellite,TransferTime,100.0,200.00,-100.00
satellite,Overall,100.0,88.72,-11.28
extreme,Latency,100.0,100.00,0.00
extreme,Bandwidth,100.0,100.00,0.00
extreme,PacketLoss,100.0,100.00,0.00
extreme,TransferTime,100.0,100.00,0.00
extreme,Overall,100.0,100.00,0.00
